timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1716378961,2,-1080,-82,8309,876,912,623,2443,4100,699,,
1716378963,2,-1083,-80,8300,864,902,617,2414,4111,691,,
1716378965,2,-955,-88,8318,888,922,634,2475,4111,702,,
1716378967,0,-935,-83,8373,1110,1136,778,3055,4061,863,,
1716378969,1,-968,-71,8352,1111,1138,779,3059,4062,865,,
1716378971,1,-927,-81,8389,1110,1136,777,3054,4058,863,,
1716378973,0,-966,-83,8354,1105,1127,771,3033,4049,855,,
1716378975,3,-949,-67,8407,1092,1107,757,2987,4032,838,,
1716378977,2,-1351,404,7826,894,917,631,2473,4080,695,,
1716378979,0,-918,-104,8363,945,954,654,2576,4027,720,,
1716378981,2,-909,-107,8343,1065,1073,733,2897,4013,811,,
1716378983,1,-914,-102,8345,1054,1061,725,2866,4011,801,,
1716378985,0,-917,-108,8333,1077,1090,744,2938,4022,826,,
1716378987,4,-920,-109,8338,1075,1089,743,2933,4024,826,,
1716378989,2,-903,-98,8384,1072,1087,742,2928,4028,824,,
1716378991,0,-907,-112,8350,1071,1083,740,2920,4023,820,,
1716378993,1,-554,-99,8390,838,864,595,2325,4096,656,,
1716379002,1,-930,-117,8549,723,814,556,2144,4320,643,,
1716379004,0,-1580,-618,8351,662,774,529,2021,4435,619,,
1716379006,2,-1403,-813,8438,654,765,523,1997,4437,612,,
1716379008,0,-1444,-844,8188,657,767,525,2003,4435,613,,
1716379010,0,-1384,-883,8198,654,764,523,1994,4437,610,,
1716379012,1,-1333,-943,8178,658,767,525,2003,4430,612,,
1716379014,3,-1349,-907,8262,660,769,526,2008,4427,614,,
1716379016,3,-1375,-1044,8099,658,765,524,1998,4425,610,,
1716379018,1,-1344,-1151,8068,655,760,520,1985,4415,606,,
1716379020,0,-1232,-917,8208,665,768,526,2011,4404,611,,
1716379022,2,-1262,-1075,8258,660,764,523,1996,4410,608,,
1716379024,0,-1272,-1136,8173,661,765,524,2000,4411,609,,
1716379028,1,-1214,-999,8281,660,764,523,1996,4410,608,,
1716379030,38,-1221,-1127,8251,664,767,525,2006,4403,610,,
1716379032,1,-1150,-972,8231,663,766,524,2002,4402,610,,
1716379034,0,-1191,-1074,8255,664,766,524,2004,4397,609,,
1716379036,1,-1207,-1105,8344,658,762,521,1989,4407,607,,
1716379038,4,-1173,-1068,8255,663,766,524,2001,4402,610,,
1716379040,1,-1188,-1150,8176,662,765,523,1997,4401,609,,
1716379042,1,-1092,-898,8292,681,782,535,2052,4384,621,,
1716379044,0,-1153,-1164,8206,665,767,524,2004,4393,611,,
1716379046,3,-1101,-1195,8216,664,766,523,2001,4391,610,,
1716379048,1,-1130,-1215,8199,665,766,524,2002,4393,609,,
