timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1716377528,8,-6180,-38,7294,6776,6570,7558,13511,6168,2638,,
1716377530,13,-4082,1286,7982,7758,7529,8663,15650,6156,3024,,
1716377532,15,-1948,932,6141,6845,7073,8385,15555,6891,2804,,
1716377534,14,-1711,151,4926,6217,6541,7851,14563,7150,2559,,
1716377536,15,-1182,-1384,5954,6376,6751,8160,15044,7289,2613,,
1716377538,16,-427,-1427,6488,5701,6158,7575,13941,7617,2324,,
1716377540,17,-373,-947,5386,5775,6138,7490,13712,7431,2331,,
1716377542,7,-1550,-1933,5520,9491,9704,10588,20211,6089,4485,,
1716377544,7,-1081,-463,5756,3698,3726,4393,7789,6773,1465,,
1716377546,7,-548,-6134,-5100,1803,1611,1704,2996,4692,710,,
1716377548,12,-2152,7013,8575,8227,9134,11126,21297,7585,3602,,
1716377550,19,-1124,1275,8609,7811,8761,10865,20709,7817,3339,,
1716377552,18,-2000,2516,6064,8083,9046,11193,21335,7782,3461,,
1716377554,17,-277,3639,10099,7676,8107,9640,18211,7039,3248,,
1716377556,16,-1656,5091,9886,8649,8972,10549,19888,6806,3632,,
1716377558,12,593,2796,12256,12917,12962,14867,28593,6287,5383,,
1716377560,18,-721,3125,11155,14886,14568,16372,31037,5956,6177,,
1716377562,15,-1175,-171,9772,10815,11044,12569,24814,6313,4720,,
1716377564,14,1264,4317,9569,8591,9085,10636,20977,6783,3765,,
1716377566,15,95,3759,10813,6525,7378,8989,18050,7488,2947,,
1716377568,16,-563,3810,10314,6883,7718,9385,18467,7512,3078,,
1716377570,19,1120,3674,11513,6759,7541,9151,17924,7481,3010,,
1716377572,16,2188,3478,12148,5738,6732,8496,16770,8087,2544,,
1716377574,18,1826,3671,9941,6228,7480,9356,18827,8100,2936,,
1716377576,19,850,3202,9927,5939,7268,9259,18627,8347,2766,,
1716377578,16,359,3423,9593,5711,7116,9145,18508,8489,2684,,
1716377580,19,46,3122,9059,6055,7450,9539,19239,8397,2811,,
1716377582,16,-929,2377,7243,5979,7385,9411,19077,8367,2827,,
1716377584,19,-437,1923,7213,5778,7237,9308,18865,8522,2734,,
1716377586,19,546,2195,8137,5519,6822,8759,17672,8445,2565,,
1716377588,31,549,560,5362,5555,6950,8852,17994,8443,2687,,
1716377590,36,1687,1272,6186,5024,6281,8047,16302,8492,2392,,
1716377592,10,1825,2104,4561,4326,5264,6744,13523,8354,1968,,
1716377594,11,3429,2020,6020,2812,3468,4499,9255,8336,1267,,
1716377596,8,4064,1249,10900,2673,3119,3929,7696,8082,1179,,
1716377598,10,4908,3302,10876,3605,4506,5812,11576,8658,1687,,
1716377600,14,3586,2087,10540,4758,5779,7300,14655,8259,2233,,
1716377602,12,2392,3632,10270,4835,5835,7334,14721,8181,2272,,
1716377604,17,2642,4550,8233,5286,6391,7876,16137,7958,2606,,
1716377606,14,1484,3599,7791,4832,5763,7144,14393,7989,2298,,
1716377608,14,1834,1947,5759,4243,5025,6244,12390,8043,1983,,
1716377610,8,500,1545,5438,3806,4217,5023,9832,7309,1743,,
1716377611,7,1173,1517,5620,3967,4408,5370,10436,7512,1739,,
1716377613,11,2045,1837,8487,3829,4522,5794,11395,8251,1653,,
1716377615,12,2262,1002,6084,2474,3280,4561,9168,9383,1035,,
1716377617,9,1052,1321,5095,2170,2851,3798,8004,8719,1015,,
1716377619,10,1799,1738,6213,2285,2886,3804,8159,8284,1029,,
1716377621,8,1574,-25,6007,1863,2383,3154,6874,8275,847,,
1716377623,44,1551,337,5309,1751,2343,3258,6890,8978,745,,
1716377625,10,2182,-385,6500,2687,3092,3896,8952,7181,1156,,
1716377627,8,1044,-740,6943,2758,3218,4013,9220,7215,1246,,
1716377629,9,2830,-622,8605,2698,3159,4019,8959,7447,1168,,
1716377631,7,1757,-873,9821,1823,2414,3358,7008,9023,760,,
1716377633,8,2016,3451,9179,2393,2835,3692,7990,7768,995,,
1716377635,9,935,4125,9910,3100,3447,4150,9603,6767,1396,,
1716377637,7,2337,5129,8994,2956,3348,4064,9031,7046,1350,,
1716377639,9,951,3875,7681,3643,3962,4682,10546,6628,1643,,
1716377641,9,-996,2014,6072,4068,4414,4963,11280,6342,2013,,
1716377643,6,-1928,901,5999,3954,4277,4760,10941,6249,1983,,
1716377645,8,-741,292,5963,5026,5249,5580,13156,5775,2569,,
1716377647,11,225,775,6621,6030,6084,6319,14757,5463,3020,,
1716377649,10,-187,2631,7325,8514,8406,8933,20350,5478,3965,,
1716377651,11,-3281,2682,8637,8526,8775,9240,20615,5690,4319,,
