timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1716377679,5,-1888,1865,8153,18103,15736,16543,28350,4362,6851,,
1716377681,0,-2841,3181,7980,18679,16883,17789,31096,4751,7563,,
1716377683,6,-2394,3287,5702,10786,9736,9918,16896,4377,4606,,
1716377685,13,-1757,1002,11941,12994,11987,12658,21162,4931,5436,,
1716377687,6,-2319,1475,8340,13590,12318,12868,22098,4677,5612,,
1716377689,7,-1480,845,6198,12430,11214,11582,19820,4517,5187,,
1716377695,9,-859,-505,8703,20895,19290,20126,37448,4891,8932,,
1716377697,14,523,-948,6369,65535,65535,65535,65535,0,34196,,
1716377699,4,-2762,3915,7888,8789,7791,8009,12435,4105,3581,,
1716377701,7,-114,-923,9455,10874,9665,9980,15601,4203,4420,,
1716377703,5,-1498,-1103,5059,10413,9249,9591,14825,4222,4197,,
1716377705,7,-787,-869,6663,10207,9067,9390,14532,4209,4124,,
1716377707,7,-2440,-2908,7241,9802,8783,9117,14569,4394,4007,,
1716377709,3,-1090,151,8891,10662,9679,10191,16794,4727,4356,,
1716377711,7,1102,528,8089,10305,9995,10737,19492,5564,4571,,
1716377713,7,-134,1484,8342,13538,13251,14237,26324,5631,6099,,
1716377715,8,-1389,1585,7965,14493,14131,15220,28039,5621,6458,,
1716377717,8,155,998,8228,13604,13444,14335,27624,5615,6311,,
1716377719,12,2138,771,7027,15791,15805,16748,35112,5598,7561,,
1716377721,17,-730,1068,9835,19831,20031,21280,44954,5671,9602,,
1716377723,13,1553,1257,8212,20749,20954,22233,48364,5637,10064,,
1716377725,17,4977,1696,12493,22423,22380,23550,51075,5512,10807,,
1716377727,18,1059,2080,7904,24409,24551,25865,55458,5577,11895,,
1716377729,20,925,657,7094,25175,25244,26571,57088,5550,12223,,
1716377731,23,1448,425,8224,23491,23898,25256,54614,5665,11608,,
1716377733,23,1736,-1714,7684,26983,27195,28661,61411,5593,13186,,
1716377735,19,1450,-1281,9026,29253,29149,30959,65535,0,13851,,
1716377737,20,1704,622,8137,28745,28945,30665,65535,0,13909,,
1716377739,23,1614,34,8300,28865,29205,30901,65535,0,14108,,
1716377741,27,1501,-1073,8321,29390,29947,31638,65535,0,14569,,
1716377743,22,-1772,-169,5797,26499,26908,28733,62474,5711,12837,,
1716377745,19,-1638,954,9231,20969,21175,22817,49171,5739,9914,,
17163777471716377750,30,2168,-4952,8428,29682,31611,33686,65535,0,15602,,
1716377752,26,786,949,8232,27234,27965,29935,65143,5797,13387,,
1716377754,28,442,1901,7776,39671,41259,43657,65535,0,20289,,
1716377756,17,-1641,-510,5374,12753,12059,12521,26120,5077,5728,,
1716377758,14,-1567,-972,6352,11308,10611,10993,21372,4984,5030,,
1716377760,8,-419,-2494,7420,9776,9078,9342,16977,4804,4317,,
1716377762,11,0,797,10871,16639,15986,16883,32543,5314,7472,,
1716377764,14,-2303,503,5923,42113,38439,40209,65535,0,17569,,
1716377766,14,-636,-580,6344,32589,30351,31552,58842,4933,14231,,
1716377768,11,2005,-361,9213,12847,11795,11968,21930,4592,5686,,
1716377770,7,10,120,11910,14179,12962,13117,23901,4526,6255,,
1716377772,8,-420,204,5368,13314,12122,12200,22388,4455,5881,,
1716377774,7,1556,-3020,8123,12368,11304,11437,20501,4500,5455,,
1716377776,6,452,-1148,8317,13049,12013,12123,21778,4541,5851,,
1716377776,8,-2194,1116,7965,12951,11850,12227,20932,4638,5549,,
1716377777,7,-2281,713,8027,13262,12153,12516,21520,4638,5715,,
1716377779,8,-2379,1027,8163,13559,12447,12851,22113,4680,5838,,
1716377781,7,-2362,799,8037,13640,12541,12920,22570,4690,5909,,
1716377783,6,-2463,784,8001,13323,12185,12541,21786,4627,5728,,
1716377785,8,-2354,766,8038,13225,12109,12480,21563,4644,5684,,
1716377787,7,-2417,806,7978,13723,12586,12958,22646,4662,5925,,
1716377789,7,-2432,843,7957,12409,11381,11784,20011,4686,5309,,
1716377791,8,-2411,767,8003,13243,12107,12477,21595,4631,5677,,
1716377793,7,-2387,817,8024,13437,12334,12719,22029,4675,5795,,
1716377795,7,-2396,862,7991,13385,12216,12557,21817,4596,5745,,
1716377797,11,-2443,740,7980,14251,13105,13461,23808,4677,6205,,
1716377799,4,-2438,799,7952,14036,12919,13297,23439,4700,6101,,
1716377801,6,-1933,144,9105,15577,14390,14809,25945,4726,6816,,
1716377803,8,-2676,-43,7249,15332,14164,14539,25470,4701,6737,,
1716377805,14,-849,104,7817,15067,13911,14276,24906,4689,6616,,
1716377807,8,-765,1268,8245,16053,14881,15327,27155,4775,7057,,
1716377809,8,-706,1166,8271,16232,15053,15498,27512,4777,7146,,
1716377811,9,-722,1262,8264,16174,14998,15444,27423,4778,7117,,
