timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712470678,78,295,926,3234,8785,13080,15492,20137,40740,8156,5467,,
1712470680,66,266,-1466,735,9578,13203,15277,19313,39436,7780,5690,,
1712470682,72,290,536,1909,8389,11574,14046,18402,37613,8309,4943,,
1712470684,64,288,60,992,6298,11711,14352,18851,38492,8401,5053,,
1712470686,71,293,245,396,4848,20504,20687,25662,52037,6701,7212,,
1712470688,80,298,3963,2204,7654,14217,17059,21949,45092,8103,6245,,
1712470689,69,295,-2276,2117,10510,28623,27688,32526,62793,6154,10603,,
1712470691,77,294,-1877,1556,6162,33515,32335,37879,65535,0,12431,,
1712470693,76,291,-410,773,6905,18518,20392,25542,50627,7506,7479,,
1712470695,79,297,1246,-462,7347,20933,22598,28010,55892,7257,8371,,
1712470697,81,289,-1177,2660,9651,26529,26493,31816,61986,6534,9916,,
1712470699,78,292,138,1210,6772,23014,23674,28912,56660,6860,8733,,
1712470701,74,283,1107,2650,6612,23203,23673,28900,56671,6791,8679,,
1712470703,75,278,-568,3688,9077,20954,21624,26742,52453,6962,7755,,
1712470705,78,283,395,1407,6558,22541,22974,28227,55179,6834,8283,,
1712470707,71,283,4509,-385,11404,21022,21887,27136,53189,7050,7859,,
1712470709,70,285,71,2452,9454,24238,24522,29758,57769,6717,9055,,
1712470711,75,285,-715,1444,7527,19077,20034,25030,48969,7174,7107,,
1712470713,75,277,908,2470,7820,19842,20763,25681,49848,7115,7533,,
1712470715,73,257,-999,1691,9301,18330,19448,24329,47693,7255,6938,,
1712470717,70,292,-810,1508,4864,22573,23313,28620,55813,6942,8520,,
1712470719,73,263,2454,-365,8422,20589,21367,26253,51134,6991,7825,,
1712470721,66,284,-139,1517,8676,21589,21922,26645,51386,6779,8090,,
1712470723,72,290,767,814,5376,19958,20278,24724,47568,6813,7430,,
1712470725,63,281,2465,3040,8088,16945,17368,21478,41712,6944,6191,,
1712470727,61,278,585,1066,9411,17356,17627,21443,41674,6761,6492,,
1712470729,52,284,680,1521,5891,12040,12893,16132,31295,7379,4633,,
1712470731,55,286,497,2230,8509,10417,11696,15080,29698,7864,4041,,
1712470753,23,273,-842,325,6361,3657,4810,6428,13289,8900,1699,,
1712470754,35,277,1937,34,11854,5008,6668,8833,18352,8909,2433,,
1712470756,50,260,859,-582,5931,7375,9549,12494,25688,8740,3533,,
1712470758,62,279,5178,1313,8747,8387,10719,14037,28610,8717,3921,,
1712470760,59,279,62,-1828,6813,11279,14019,17705,36221,8304,5506,,
1712470762,72,284,1761,1010,6368,13155,15519,19581,38893,8090,5892,,
1712470764,54,276,4683,3492,6421,13527,15288,19179,37742,7764,5701,,
1712470766,62,256,3891,3242,10088,14309,16279,20259,39931,7762,6220,,
1712470768,64,248,2672,1049,10458,14556,16583,20635,40600,7783,6345,,
1712470770,64,281,1343,1351,10500,16635,18496,22688,44439,7519,7187,,
1712470772,59,283,2867,2796,10399,21899,22888,27637,53740,6942,8788,,
1712470774,73,250,2848,2402,9757,46584,44667,51192,65535,0,17909,,
1712470776,70,284,398,2161,8689,62051,58681,65535,65535,0,24509,,
1712470778,73,280,-60,1217,7723,61415,56278,64023,65535,0,22029,,
1712470780,70,288,364,1337,6172,61870,56018,63094,65535,0,22151,,
1712470782,67,271,1354,922,4798,60865,55293,62234,65535,0,21962,,
1712470784,73,274,2019,1379,6677,63089,57961,65270,65535,0,23229,,
1712470786,72,274,3557,1223,7452,65535,65535,65535,65535,0,34196,,
1712470788,73,261,2717,228,8262,65535,65535,65535,65535,0,34196,,
1712470790,68,284,1950,1787,11011,12845,14559,18710,36274,8020,5115,,
1712470792,109,267,1202,684,9985,10553,12828,16824,33018,8633,4507,,
1712470794,101,274,726,465,8536,12083,14830,19190,38029,8566,5439,,
1712470796,80,280,627,172,6726,12811,15354,20015,39173,8504,5425,,
1712470798,84,284,2087,1533,6041,65535,65535,65535,65535,0,34196,,
1712470800,75,262,463,178,9691,19963,20748,25958,49845,7178,7267,,
1712470802,75,249,-676,1089,10668,15214,17058,21953,42275,7980,5916,,
1712470804,91,276,-1418,-452,7251,13709,15710,20461,39664,8191,5369,,
1712470806,74,249,105,700,5204,18557,19642,24696,47915,7314,6902,,
1712470808,76,281,1194,821,7698,15663,17578,22636,44053,7925,6091,,
1712470810,71,257,-34,-200,8543,16261,18023,23075,44679,7817,6278,,
1712470812,77,272,-751,1870,10716,15430,17149,22140,42531,7939,5853,,
1712470814,76,283,27,1762,9612,16124,17766,22615,43441,7779,6254,,
1712470816,71,251,-472,146,8199,65535,65535,65535,65535,0,34196,,
1712470818,84,273,-217,-1152,6471,65535,65535,65535,65535,0,34196,,
1712470820,77,271,-1008,-123,6384,51941,46519,51974,65535,0,18520,,
1712470822,70,255,-772,-1177,6660,19027,19885,23813,45583,6944,7779,,
1712470824,62,269,1615,235,6895,29450,31064,34322,65535,0,14348,,
1712470826,62,274,3497,2596,8545,32919,33224,36971,65535,0,14692,,
1712470828,69,273,3479,2736,8700,65535,65535,65535,65535,0,34196,,
1712470830,66,281,1248,3500,10991,65535,65535,65535,65535,0,34196,,
1712470831,85,250,-1028,-798,8770,65535,65535,65535,65535,0,34196,,
1712470833,101,253,1375,-22,6433,65535,65535,65535,65535,0,34196,,
1712470835,112,248,1566,-832,8555,65535,65535,65535,65535,0,34196,,
1712470837,108,272,-685,-527,9490,65535,65535,65535,65535,0,34196,,
1712470839,143,260,2079,2749,8172,65535,65535,65535,65535,0,34196,,
1712470841,92,253,-2365,-2431,9006,53174,45397,49482,65535,0,18173,,
1712470843,77,278,368,-1756,6688,65535,60990,65535,65535,0,27022,,
1712470845,142,256,217,2266,8098,65535,65535,65535,65535,0,34196,,
1712470847,87,281,-1195,767,9169,31754,29364,32912,60575,5494,11949,,
1712470849,65,269,-1526,-3943,7438,38502,33973,36906,65535,0,14110,,
1712470851,81,267,-379,-443,6431,65535,65535,65535,65535,0,34196,,
1712470853,119,279,-1116,650,8531,65535,65535,65535,65535,0,34196,,
1712470855,95,279,247,1263,9097,65535,56264,61530,65535,0,22494,,
1712470857,113,275,-1045,-967,5134,65535,65535,65535,65535,0,34196,,
1712470859,87,269,-2107,-1479,11288,65535,65535,65535,65535,0,34196,,
1712470861,85,247,-2083,-802,5792,46980,41286,46472,65535,0,15898,,
1712470863,92,283,-257,667,12435,65535,65535,65535,65535,0,34196,,
1712470865,107,268,597,-1119,4488,65535,65535,65535,65535,0,34196,,
1712470867,87,275,4282,-2277,9649,35257,36848,41601,65535,0,16265,,
1712470869,78,254,-1048,-1478,7813,25808,27627,32439,64864,6851,11484,,
1712470871,81,271,220,321,6208,27954,28504,33542,65535,0,11364,,
1712470873,101,272,1267,-1273,11720,56562,49811,56017,65535,0,19257,,
1712470875,108,227,-249,-2119,5689,65535,65535,65535,65535,0,34196,,
1712470877,111,250,1916,-1688,9173,65535,65535,65535,65535,0,34196,,
1712470879,109,269,1306,-1922,10932,65535,65535,65535,65535,0,34196,,
1712470881,89,274,130,-2548,5511,65535,65535,65535,65535,0,34196,,
1712470883,107,246,458,-1463,5455,65535,65535,65535,65535,0,34196,,
1712470885,114,271,1572,829,9644,65535,65535,65535,65535,0,34196,,
1712470887,127,277,1332,-1587,7908,65535,65535,65535,65535,0,34196,,
1712470889,143,266,1243,-1084,5645,65535,65535,65535,65535,0,34196,,
1712470891,134,280,1384,-907,6997,65535,65535,65535,65535,0,34196,,
1712470893,135,250,3030,-1289,8183,65535,65535,65535,65535,0,34196,,
1712470895,138,279,1197,-631,10166,65535,65535,65535,65535,0,34196,,
1712470897,131,268,791,-1509,6387,65535,65535,65535,65535,0,34196,,
1712470899,120,270,1547,-254,6334,65535,65535,65535,65535,0,34196,,
1712470901,108,275,544,-498,11312,65535,65535,65535,65535,0,34196,,
1712470903,93,248,734,-1059,9454,36298,36625,41178,65535,0,15884,,
1712470905,91,270,928,-1259,5983,65535,65535,65535,65535,0,34196,,
1712470907,99,272,2743,-1401,8664,65535,65535,65535,65535,0,34196,,
1712470909,123,268,3637,-941,8316,65535,65535,65535,65535,0,34196,,
1712470911,117,270,1705,-1306,11003,65535,65535,65535,65535,0,34196,,
1712470913,129,272,142,-1212,10226,65535,65535,65535,65535,0,34196,,
1712470915,92,251,-759,-2246,6354,61957,64811,65535,65535,0,34215,,
1712470917,69,281,602,-1408,7179,19093,20909,24594,49422,7022,8802,,
1712470919,49,243,124,-1025,6758,50327,51486,54801,65535,0,24815,,
1712470921,44,280,655,823,8619,65535,59640,65333,65535,0,25039,,
1712470923,67,248,-956,940,11355,63344,56310,63704,65535,0,21687,,
1712470925,82,273,-1453,-823,10309,51189,46813,53788,65535,0,17901,,
1712470927,87,272,185,-18,5332,59247,54628,62389,65535,0,21324,,
1712470929,87,266,182,-424,8129,60451,54197,61960,65535,0,20567,,
1712470931,82,270,-1711,49,10008,48581,44157,51052,65535,0,16558,,
1712470933,87,272,-578,-805,5525,58724,54038,61788,65535,0,21003,,
1712470935,99,274,2104,2761,7752,65535,64801,65535,65535,0,33037,,
1712470937,111,276,1218,-81,11680,65535,65535,65535,65535,0,34196,,
1712470939,111,270,1052,-705,10430,65535,65535,65535,65535,0,34196,,
1712470941,114,244,839,-917,7178,65535,65535,65535,65535,0,34196,,
1712470943,118,275,2023,-468,7617,65535,65535,65535,65535,0,34196,,
1712470945,109,273,1527,-2008,10567,65535,65535,65535,65535,0,34196,,
1712470946,115,271,-406,-1459,7967,65535,65535,65535,65535,0,34196,,
1712470948,129,274,92,-1075,5787,65535,65535,65535,65535,0,34196,,
1712470950,130,271,499,182,6390,65535,65535,65535,65535,0,34196,,
1712470952,127,278,5570,2762,9392,65535,65535,65535,65535,0,34196,,
1712470954,140,277,919,210,11039,65535,65535,65535,65535,0,34196,,
1712470956,140,224,-3,-589,8995,65535,65535,65535,65535,0,34196,,
1712470958,133,271,151,-647,5952,65535,65535,65535,65535,0,34196,,
1712470960,119,257,1138,76,5661,65535,65535,65535,65535,0,34196,,
1712470962,132,273,1615,-700,6269,65535,65535,65535,65535,0,34196,,
1712470964,125,277,2534,-2435,7390,65535,65535,65535,65535,0,34196,,
1712470966,127,267,487,-2632,10209,65535,65535,65535,65535,0,34196,,
1712470968,112,272,3073,-3079,7735,54343,48353,55624,65535,0,17964,,
1712470970,132,273,716,-968,4997,65535,65535,65535,65535,0,34196,,
