unix,uv,light,accelX,accelY,accelZ,target,timestamp
1713139756,0,4,-240,43,8427,0,15/04/2024 12:09:16
1713139787,6,24,-64,-145,8408,0,15/04/2024 12:09:47
1713139789,4,775,63,-153,8525,0,15/04/2024 12:09:49
1713139815,6,0,-159,114,8426,0,15/04/2024 12:10:15
1713139847,7,10,-71,-149,8410,0,15/04/2024 12:10:47
1713139850,2,722,69,-158,8355,0,15/04/2024 12:10:50
1713139875,0,7,-157,235,8396,0,15/04/2024 12:11:15
1713139907,16,57,-71,-148,8406,0,15/04/2024 12:11:47
1713139910,12,764,72,-176,8385,0,15/04/2024 12:11:50
1713139935,6,0,-191,32,8421,0,15/04/2024 12:12:15
1713139967,6,30,-59,-152,8405,0,15/04/2024 12:12:47
1713139971,18,784,83,-171,8442,0,15/04/2024 12:12:51
1713139994,5,10,-172,95,8415,0,15/04/2024 12:13:14
1713140027,6,40,-69,-154,8407,0,15/04/2024 12:13:47
1713140032,4,677,69,-175,8403,0,15/04/2024 12:13:52
1713140054,2,3,-156,123,8412,0,15/04/2024 12:14:14
1713140087,8,32,-73,-142,8405,0,15/04/2024 12:14:47
1713140092,3,658,64,-182,8369,0,15/04/2024 12:14:52
1713140114,5,11,-106,139,8419,0,15/04/2024 12:15:14
1713140148,4,33,-73,-145,8401,0,15/04/2024 12:15:48
1713140153,0,701,68,-178,8426,0,15/04/2024 12:15:53
1713140174,0,6,-159,108,8423,0,15/04/2024 12:16:14
1713140208,11,27,-70,-150,8403,0,15/04/2024 12:16:48
1713140214,6,11,1516,-1534,7001,0,15/04/2024 12:16:54
1713140233,0,6,-174,100,8420,0,15/04/2024 12:17:13
1713140268,0,9,-71,-147,8404,0,15/04/2024 12:17:48
1713140274,0,17,-44,-2255,8097,0,15/04/2024 12:17:54
1713140293,12,8,-184,95,8420,0,15/04/2024 12:18:13
1713140328,0,15,-67,-149,8401,0,15/04/2024 12:18:48
1713140334,0,11,142,-1344,8266,0,15/04/2024 12:18:54
1713140353,4,8,-175,101,8407,0,15/04/2024 12:19:13
1713140388,5,9,-70,-148,8400,0,15/04/2024 12:19:48
1713140395,3,9,-680,-842,8343,0,15/04/2024 12:19:55
1713140412,3,7,-193,47,8401,0,15/04/2024 12:20:12
1713140448,6,9,-72,-149,8401,0,15/04/2024 12:20:48
1713140455,2,15,-696,-950,8308,0,15/04/2024 12:20:55
1713140472,0,7,-173,94,8417,0,15/04/2024 12:21:12
1713140509,8,12,-74,-152,8402,0,15/04/2024 12:21:49
1713140515,0,19,-724,-986,8304,0,15/04/2024 12:21:55
1713140569,0,8,-72,-149,8407,0,15/04/2024 12:22:49
1713140576,0,42,-706,-974,8312,0,15/04/2024 12:22:56
1713140629,10,7,-71,-150,8398,0,15/04/2024 12:23:49
1713140636,6,16,502,999,8582,0,15/04/2024 12:23:56
1713140689,11,7,-75,-155,8406,0,15/04/2024 12:24:49
1713140696,3,241,-43,75,8416,0,15/04/2024 12:24:56
1713140749,0,0,-70,-153,8397,0,15/04/2024 12:25:49
1713140756,2,140,-39,72,8417,0,15/04/2024 12:25:56
1713140810,0,2,-69,-148,8402,0,15/04/2024 12:26:50
1713140817,0,85,-44,78,8424,0,15/04/2024 12:26:57
1713140870,0,10,-70,-149,8405,0,15/04/2024 12:27:50
1713140877,6,62,-40,79,8422,0,15/04/2024 12:27:57
1713140930,0,0,-76,-155,8411,0,15/04/2024 12:28:50
1713140937,0,56,-35,67,8417,0,15/04/2024 12:28:57
1713140990,5,15,-73,-148,8403,0,15/04/2024 12:29:50
1713140998,0,45,-29,68,8408,0,15/04/2024 12:29:58
1713141050,6,0,-77,-149,8403,0,15/04/2024 12:30:50
1713141058,0,17,-33,68,8397,0,15/04/2024 12:30:58
1713141111,6,41,-77,-149,8397,0,15/04/2024 12:31:51
1713141118,2,11,-33,70,8409,0,15/04/2024 12:31:58
1713141171,0,32,-73,-157,8411,0,15/04/2024 12:32:51
1713141178,0,45,-35,67,8402,0,15/04/2024 12:32:58
1713141231,6,43,-66,-152,8410,0,15/04/2024 12:33:51
1713141238,3,54,-40,72,8408,0,15/04/2024 12:33:58
1713141291,15,39,-80,-155,8404,0,15/04/2024 12:34:51
1713141299,3,58,-36,71,8409,0,15/04/2024 12:34:59
1713141351,9,41,-74,-151,8403,0,15/04/2024 12:35:51
1713141359,0,56,-29,66,8405,0,15/04/2024 12:35:59
1713141412,16,43,-67,-154,8400,0,15/04/2024 12:36:52
1713141419,0,51,-41,64,8412,0,15/04/2024 12:36:59
1713141472,17,47,-76,-147,8396,0,15/04/2024 12:37:52
1713141479,3,56,-29,60,8409,0,15/04/2024 12:37:59
1713141532,13,45,-73,-153,8408,0,15/04/2024 12:38:52
1713141539,1,61,-34,60,8408,0,15/04/2024 12:38:59
1713141592,4,42,-73,-155,8406,0,15/04/2024 12:39:52
1713141599,2,50,-29,67,8405,0,15/04/2024 12:39:59
1713141652,11,49,-72,-155,8390,0,15/04/2024 12:40:52
1713141659,18,56,-30,61,8399,0,15/04/2024 12:40:59
1713141713,5,21,-71,-163,8404,0,15/04/2024 12:41:53
1713141720,1,54,-34,64,8406,0,15/04/2024 12:42:00
1713141773,7,50,-70,-155,8396,0,15/04/2024 12:42:53
1713141780,4,53,-32,61,8407,0,15/04/2024 12:43:00
1713141833,14,42,-70,-156,8404,0,15/04/2024 12:43:53
1713141840,0,58,-24,64,8408,0,15/04/2024 12:44:00
1713141893,57,54,-67,-155,8406,0,15/04/2024 12:44:53
1713141900,0,65,-28,62,8410,0,15/04/2024 12:45:00
1713141953,57,54,-70,-157,8406,0,15/04/2024 12:45:53
1713141960,3,63,-35,57,8397,0,15/04/2024 12:46:00
1713142014,65,59,-78,-161,8405,0,15/04/2024 12:46:54
1713142020,0,59,-33,62,8404,0,15/04/2024 12:47:00
1713142074,61,70,-76,-153,8415,0,15/04/2024 12:47:54
1713142080,3,58,-30,69,8409,0,15/04/2024 12:48:00
1713142134,58,70,-76,-158,8411,0,15/04/2024 12:48:54
1713142140,1,58,-23,60,8414,0,15/04/2024 12:49:00
1713142194,60,74,-75,-155,8407,0,15/04/2024 12:49:54
1713142201,4,67,-38,61,8414,0,15/04/2024 12:50:01
1713142254,74,68,-83,-155,8406,0,15/04/2024 12:50:54
1713142261,2,58,-30,56,8422,0,15/04/2024 12:51:01
1713142315,68,61,-73,-153,8408,0,15/04/2024 12:51:55
1713142321,7,59,-33,58,8414,0,15/04/2024 12:52:01
1713142375,55,67,-76,-159,8398,0,15/04/2024 12:52:55
1713142381,9,65,-27,58,8413,0,15/04/2024 12:53:01
1713142435,69,75,-81,-157,8402,0,15/04/2024 12:53:55
1713142441,6,66,-29,56,8412,0,15/04/2024 12:54:01
1713142495,70,63,-73,-157,8402,0,15/04/2024 12:54:55
1713142501,2,69,-29,67,8416,0,15/04/2024 12:55:01
1713142555,54,75,-79,-152,8408,0,15/04/2024 12:55:55
1713142561,9,63,-25,66,8417,0,15/04/2024 12:56:01
1713142616,68,55,-80,-155,8405,0,15/04/2024 12:56:56
1713142621,4,66,-29,56,8408,0,15/04/2024 12:57:01
1713142676,69,71,-78,-164,8398,0,15/04/2024 12:57:56
1713142681,0,77,-33,58,8407,0,15/04/2024 12:58:01
1713142736,84,75,-84,-162,8410,0,15/04/2024 12:58:56
1713142741,7,111,-34,58,8412,0,15/04/2024 12:59:01
1713142796,106,100,-74,-160,8415,0,15/04/2024 12:59:56
1713142802,0,170,-31,56,8412,0,15/04/2024 13:00:02
1713142856,143,120,-82,-158,8405,0,15/04/2024 13:00:56
1713142862,0,213,-29,63,8408,0,15/04/2024 13:01:02
1713142917,119,97,-82,-158,8407,0,15/04/2024 13:01:57
1713142922,0,583,454,-3368,7098,0,15/04/2024 13:02:02
1713142977,102,95,-79,-158,8407,0,15/04/2024 13:02:57
1713142982,0,301,-125,229,8375,1,15/04/2024 13:03:02
1713143042,2,194,1650,-133,8255,1,15/04/2024 13:04:02
1713143101,1,146,3174,390,7832,1,15/04/2024 13:05:01
1713143161,10,131,-140,-139,8529,1,15/04/2024 13:06:01
1713143221,3,80,2430,-484,7707,1,15/04/2024 13:07:01
1713143281,1,106,1509,-598,8269,1,15/04/2024 13:08:01
1713143341,0,236,1800,-874,7313,1,15/04/2024 13:09:01
1713143401,0,247,1575,-781,7809,1,15/04/2024 13:10:01
1713143461,2,132,1902,-214,8192,1,15/04/2024 13:11:01
1713143521,0,118,1893,-225,8161,1,15/04/2024 13:12:01
1713143581,2,60,1934,-20,8370,1,15/04/2024 13:13:01
1713143641,0,76,1329,-549,7695,1,15/04/2024 13:14:01
1713143701,3,89,1428,-747,8281,1,15/04/2024 13:15:01
1713143761,19,663,2158,34,8050,1,15/04/2024 13:16:01
1713143821,1,69,1598,-1058,8613,0,15/04/2024 13:17:01
1713143880,0,55,2547,5,7788,0,15/04/2024 13:18:00
1713143940,2,61,2257,-582,8015,0,15/04/2024 13:19:00
1713144000,6,73,2121,-1081,7711,0,15/04/2024 13:20:00
1713144060,2,80,1779,-231,8145,0,15/04/2024 13:21:00
