timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712470690,23,270,-3424,2153,6975,41523,32964,34270,60668,3620,13465,,
1712470692,20,296,-2040,2472,7683,41006,32369,34339,60663,3747,12644,,
1712470694,27,267,-1954,3784,7489,60524,47314,48737,65535,0,19358,,
1712470696,23,294,-942,1714,7401,37800,28938,30854,55573,3624,10820,,
1712470698,23,293,-1867,3351,6794,40763,31148,32906,59054,3526,11844,,
1712470700,19,283,-1974,2339,8050,35441,26932,28491,51606,3526,10149,,
1712470702,21,297,-2561,2872,6876,44940,34116,35464,63329,3334,13300,,
1712470704,19,287,-2002,4826,6112,41480,31572,32793,57248,3274,12363,,
1712470705,20,293,-1823,3374,7710,43487,32887,34167,60651,3285,12782,,
1712470707,19,296,-2528,4043,7116,48539,36703,37878,65535,0,14448,,
1712470709,28,302,-1662,5345,5941,65535,56039,55521,65535,0,26537,,
1712470711,29,296,-1171,4619,7887,65535,56937,55619,65535,0,27882,,
1712470713,29,297,-2161,3952,7447,65535,53780,54439,65535,0,23763,,
1712470715,30,269,-2434,4905,8338,65535,57825,56237,65535,0,28832,,
1712470717,34,287,-730,4015,6491,65535,55455,55097,65535,0,25925,,
1712470719,30,296,-113,3911,6837,65535,55978,55314,65535,0,26592,,
1712470721,31,289,-65,4520,7465,65535,56968,55205,65535,0,28234,,
1712470723,28,295,601,2818,8244,64704,52481,52572,65535,0,23349,,
1712470725,29,269,135,4027,7232,62038,48488,50712,65535,0,19274,,
1712470727,25,288,-77,3152,7865,62253,48640,50302,65535,0,19744,,
1712470729,29,292,121,3069,7877,62267,48730,50534,65535,0,19712,,
1712470731,28,298,-2389,1989,8082,59094,46928,47625,65535,0,20027,,
1712470733,29,244,-6404,2669,9899,6636,7153,8245,16752,6735,3101,,
1712470735,26,267,-709,2448,7086,53678,41316,42875,65535,0,16404,,
1712470737,26,299,-1040,4944,6914,65308,53807,53373,65535,0,24660,,
1712470739,30,289,-1658,4936,6298,65535,55090,54122,65535,0,26063,,
1712470741,29,267,-77,5111,7125,64096,54940,53389,65535,0,26830,,
1712470743,24,284,-1865,6580,5898,37362,28541,29927,53849,3470,11014,,
1712470745,25,268,-1070,4965,6177,62333,52517,52174,65535,0,24467,,
1712470747,20,287,500,4707,6649,50623,40667,41484,65535,0,17389,,
1712470749,31,268,504,4314,6829,65535,57605,54272,65535,0,29923,,
1712470751,27,283,217,4181,6498,65111,56300,53205,65535,0,28782,,
1712470753,18,284,-47,4517,7423,7218,7801,8664,17975,6463,3628,,
1712470755,29,283,-318,5048,6273,65535,58428,55624,65535,0,30232,,
1712470757,30,284,154,4207,7221,64661,55088,53490,65535,0,26806,,
1712470759,25,295,224,5073,6266,61942,53782,51766,65535,0,26889,,
1712470761,28,298,1629,4335,5930,61345,51448,51005,65535,0,23956,,
1712470763,28,264,1022,4662,6163,61400,52907,51380,65535,0,25967,,
1712470765,28,295,1475,4992,6660,61947,53897,51774,65535,0,27063,,
1712470767,26,262,611,4938,6129,61482,52971,51385,65535,0,26037,,
1712470769,28,302,445,4976,6686,61520,53097,51382,65535,0,26226,,
1712470771,27,296,407,4957,6693,61547,52586,51323,65535,0,25454,,
1712470773,28,297,770,4895,6635,60195,50472,49860,65535,0,23627,,
1712470775,25,295,39,4351,6935,58415,47408,48028,65535,0,20710,,
1712470777,20,277,1077,3576,7247,59306,48725,49190,65535,0,21649,,
1712470779,31,275,-71,4398,7286,62403,54578,52012,65535,0,27816,,
1712470781,35,263,-213,4573,7123,62753,55092,52339,65535,0,28274,,
1712470783,26,298,947,3971,6951,62176,52832,51809,65535,0,25282,,
1712470785,28,301,2658,5200,7643,60522,49793,50165,65535,0,22226,,
1712470787,25,298,1324,3650,6862,61131,50681,50613,65535,0,23102,,
1712470789,27,286,1858,2908,7196,55324,44169,45089,65535,0,18752,,
1712470791,30,289,-637,4224,6234,62366,50253,50971,65535,0,21763,,
1712470793,30,301,-343,4648,5917,62181,52123,51401,65535,0,24460,,
1712470795,26,269,504,3435,7315,56068,45467,46296,65535,0,19676,,
1712470796,27,295,422,3962,7026,61060,51288,50777,65535,0,23963,,
1712470798,26,256,2044,3658,7568,59137,48255,48908,65535,0,21168,,
1712470800,30,300,1177,3653,8294,62875,53656,52306,65535,0,25992,,
1712470802,26,288,2323,3964,6836,64050,54608,52348,65535,0,27083,,
1712470804,30,291,647,3115,7822,61831,52845,51787,65535,0,25431,,
1712470806,28,270,1481,3930,7373,60953,52206,50892,65535,0,25363,,
1712470808,27,261,349,4191,6971,60648,50957,50327,65535,0,23904,,
1712470810,23,296,462,3799,7271,60909,50940,50537,65535,0,23638,,
1712470812,28,291,-260,3358,7372,59717,48901,49201,65535,0,21785,,
1712470814,28,283,281,3716,6746,62878,51442,50989,65535,0,23461,,
1712470816,24,284,643,2427,7999,57924,47131,47818,65535,0,20586,,
1712470818,17,279,3212,2059,6718,26698,22148,23404,40902,4062,9160,,
1712470820,16,278,1646,3240,7451,8809,8473,9604,18143,5883,3484,,
1712470822,11,284,893,3890,9127,8002,7911,9150,17451,6243,3191,,
1712470824,18,277,890,1004,8430,7617,7723,9069,17515,6527,3079,,
1712470826,20,289,-3932,-1603,7419,44069,36889,37515,65535,0,16459,,
1712470828,24,285,-4021,-1118,6425,46436,42963,42604,65535,0,21553,,
1712470830,24,279,-3299,-1265,7561,34933,30294,31109,55690,4203,13704,,
1712470832,15,287,-2504,136,8103,4778,5668,7064,14436,7888,2224,,
1712470834,13,283,-4588,-245,6194,5025,5721,7028,14197,7558,2254,,
1712470836,28,277,-2511,4520,6477,59219,48903,47921,65535,0,22887,,
1712470838,26,274,-1070,2864,9174,42486,33473,34669,61287,3529,13664,,
1712470840,26,260,-1313,3402,6571,60774,48146,49057,65535,0,20356,,
1712470842,28,231,-192,2737,7752,59121,46313,47310,65535,0,19278,,
1712470844,25,277,193,3042,7841,57508,44904,46860,65535,0,17907,,
1712470846,27,251,-927,2748,8231,50105,38587,40530,65535,0,14973,,
1712470848,26,254,-199,3995,7825,55932,44175,44930,65535,0,18680,,
