timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712470988,56,270,4857,-591,11513,4429,6540,9364,19190,10074,2031,,
1712470990,59,275,2600,2263,8697,4980,7361,10635,21687,10169,2217,,
1712470992,58,275,1806,1636,6301,5105,7548,10878,22187,10162,2294,,
1712470994,56,280,2004,-1193,8661,4632,6808,9786,19919,10136,2079,,
1712470996,33,281,5696,480,8186,2047,2939,4194,8478,10024,904,,
1712470998,21,281,2897,322,4536,2451,3519,4979,10106,9945,1114,,
1712471000,29,273,3749,717,10408,2190,3331,4893,9874,10564,965,,
1712471001,22,275,3429,3239,9740,2635,3816,5634,11267,10334,1044,,
1712471003,31,248,-2144,2126,6051,4070,5658,8275,16687,9896,1552,,
1712471005,38,277,-1361,1499,5680,4746,6756,9486,19250,9859,2179,,
1712471007,24,279,431,3333,5826,1947,2793,4081,8211,10152,789,,
1712471009,14,268,424,2173,6462,1468,2097,3088,6200,10170,573,,
1712471011,17,278,187,158,5950,1887,2542,3663,7358,9652,718,,
1712471013,12,273,2137,-1104,8430,1756,2381,3374,6851,9523,718,,
1712471015,4,278,-413,140,9136,1686,2397,3569,7198,10118,623,,
1712471017,12,254,-1111,605,7957,1824,2653,3954,8004,10238,701,,
1712471019,10,281,2149,822,6427,1861,2656,3932,7969,10068,710,,
1712471021,10,279,549,735,13279,1975,2777,4120,8320,10011,726,,
1712471023,11,251,-143,2525,11933,1726,2502,3684,7453,10184,692,,
1712471025,17,273,-1547,2058,5740,3491,4723,6798,13751,9604,1345,,
1712471027,48,278,-902,405,4810,5604,7987,11587,23544,9962,2306,,
1712471029,50,284,546,1388,6308,5223,7374,10475,21281,9824,2276,,
1712471031,23,281,2231,-3306,7170,2013,2851,4149,8248,10190,809,,
1712471033,15,276,-25,-3719,9808,2055,2868,4231,8380,10171,762,,
1712471035,15,249,-1726,2650,8893,1434,2121,3132,6223,10583,589,,
1712471037,11,273,-3340,-102,7346,1789,2525,3761,7523,10166,651,,
1712471039,12,251,-1487,-520,5029,2176,3065,4452,8975,9973,872,,
1712471041,13,269,-1420,2874,7241,942,1306,1883,3787,9857,377,,
1712471043,11,282,-2307,2605,9222,1058,1440,2109,4237,9787,385,,
1712471045,12,281,-4169,1792,8853,1414,1974,2889,5764,10053,542,,
1712471047,7,265,-2156,3131,6211,2036,2663,3707,7329,9451,829,,
1712471049,13,269,-2424,1947,4887,2452,3049,4129,7858,9281,994,,
1712471051,9,283,-711,966,6357,3000,3337,4245,7996,7979,1186,,
1712471053,8,292,836,-95,8070,2447,2450,2898,5253,6662,951,,
1712471055,12,287,4245,-1988,9224,2766,2705,3168,5908,6294,1052,,
1712471057,4,279,1894,-1249,10639,2490,2522,3071,5906,6779,924,,
1712471059,8,268,4515,-692,10235,2136,2180,2698,5380,6824,772,,
1712471061,13,220,4161,-2121,8512,3771,4044,4932,9695,7171,1548,,
1712471063,10,279,755,-2053,6985,3848,3916,4524,8993,6371,1620,,
1712471065,10,279,375,-2192,6328,4126,4028,4592,9052,5980,1657,,
1712471067,11,248,815,-2068,6881,3784,3742,4323,8553,6162,1513,,
