timestamp,uv,light,accelX,accelY,accelX,r,g,b,c,colorTemp,lux,,
1712471656,351,663,-943,314,7761,24928,24961,26206,59817,5491,12124,,
1712471662,358,40,-1118,679,7319,1242,1275,1138,3461,4854,776,,
1712471664,349,37,-2510,-2251,10339,1107,1252,1030,3452,4935,862,,
1712471666,360,32,1696,2838,8023,1279,1385,1163,3772,4847,919,,
1712471668,361,22,-51,2645,7600,1033,1148,937,3195,4846,790,,
1712471670,364,28,80,3429,4975,1037,1151,933,3220,4818,797,,
1712471672,340,23,-2218,-4973,6043,1025,1183,960,3302,4959,831,,
1712471674,348,49,-1069,1612,11053,1077,1219,988,3404,4886,851,,
1712471676,365,27,1112,2243,9515,1138,1309,1021,3619,4809,949,,
1712471678,349,31,1424,2893,6128,1240,1390,1080,3860,4709,1000,,
1712471680,348,36,544,3308,7532,1255,1441,1117,3977,4782,1049,,
1712471682,349,32,-370,2195,9384,987,1177,920,3230,4942,863,,
1712471684,334,27,535,3029,6411,1067,1242,972,3427,4861,902,,
1712471686,352,31,708,3396,6840,1289,1416,1116,3965,4689,999,,
1712471688,364,29,405,3283,7726,1264,1414,1120,3944,4766,1001,,
1712471690,368,35,3044,3277,6800,1205,1428,1116,3918,4919,1045,,
1712471692,367,32,76,3914,6863,1043,1258,981,3436,4974,928,,
1712471694,357,29,-235,1104,8051,944,1082,849,2996,4817,779,,
1712471696,363,35,-1573,409,6602,904,1049,848,2930,4964,741,,
1712471698,372,23,1481,-198,5644,1011,1140,934,3216,4910,787,,
1712471700,360,22,1435,-1683,9943,1080,1208,986,3414,4869,834,,
1712471702,355,25,-43,-1065,7490,1111,1248,1005,3513,4837,873,,
1712471705,367,13,331,-555,9049,772,972,789,2682,5284,706,,
1712471707,358,36,1572,-868,7412,902,1109,895,3070,5171,802,,
1712471709,360,55,-89,-431,9399,1122,1272,1031,3572,4891,888,,
1712471711,359,30,481,-1124,8179,987,1186,955,3290,5077,852,,
1712471713,359,39,-466,-1230,8339,930,1113,899,3096,5074,796,,
1712471715,357,35,205,-940,8433,1007,1152,925,3219,4890,814,,
1712471717,372,32,-97,-142,8605,967,1132,915,3150,4996,803,,
1712471719,311,51,-589,-2159,7636,1102,1267,1021,3545,4920,894,,
1712471721,296,35,1284,-157,9041,1203,1322,1082,3741,4817,904,,
1712471723,309,26,-70,-230,7445,884,1064,868,2961,5132,757,,
1712471725,312,30,187,-901,8317,1053,1225,999,3427,5005,860,,
1712471727,310,22,256,106,8237,865,1042,847,2891,5121,743,,
1712471729,321,21,-114,-24,8693,781,964,783,2658,5210,694,,
1712471731,323,51,-147,1475,7786,1125,1291,1051,3619,4950,903,,
1712471733,329,44,266,-314,8401,1217,1339,1092,3784,4809,919,,
1712471735,350,37,-38,312,8267,1143,1230,1004,3496,4737,835,,
1712471737,334,33,-1943,650,7672,1116,1196,977,3402,4726,810,,
1712471739,345,30,-792,625,8143,792,932,755,2607,5023,661,,
1712471741,361,37,-1975,2314,8015,954,1089,873,3045,4877,770,,
1712471743,361,57,-1221,-2226,7593,1115,1225,997,3469,4797,841,,
1712471745,354,32,-50,-3261,6732,879,1055,861,2943,5122,749,,
1712471747,355,27,-1272,2953,7044,1131,1283,1038,3594,4887,898,,
1712471749,371,37,-2095,4256,7560,1119,1239,1006,3491,4816,856,,
1712471751,357,32,-1392,3231,7228,1115,1239,1006,3490,4828,857,,
1712471753,359,36,-885,3165,7091,1108,1235,1001,3475,4833,856,,
1712471755,351,26,200,953,8388,990,1120,909,3145,4889,781,,
1712471757,355,35,-258,2142,8050,986,1088,881,3063,4795,752,,
1712471759,362,28,526,-859,7637,1114,1295,1042,3620,4954,919,,
1712471761,370,36,-630,355,9751,1108,1220,985,3449,4778,844,,
1712471763,351,27,-300,558,9032,1204,1340,1072,3766,4783,939,,
1712471765,362,26,-156,180,8574,1304,1416,1137,3998,4713,979,,
1712471767,360,28,-1058,-128,8368,1166,1325,1064,3702,4867,934,,
1712471769,357,31,-260,-241,10070,1171,1329,1064,3704,4852,938,,
1712471771,363,28,-670,-336,5227,1021,1148,919,3214,4820,807,,
1712471773,373,17,-1698,-88,7091,1068,1118,910,3194,4637,751,,
1712471775,359,46,-832,588,8155,1106,1228,987,3451,4791,856,,
1712471777,361,33,-2336,-367,7445,1128,1313,1043,3649,4913,942,,
1712471779,334,34,764,-1354,7954,1230,1438,1133,3979,4900,1041,,
1712471781,347,25,-1381,-698,8656,1240,1435,1135,3982,4878,1031,,
1712471783,377,29,251,973,9351,1263,1411,1134,3959,4811,987,,
1712471785,353,25,-1370,-898,6645,1324,1465,1172,4119,4763,1024,,
1712471787,351,25,-72,-190,9733,1186,1336,1079,3759,4857,933,,
1712471789,370,41,2450,787,11013,1142,1294,1037,3627,4850,912,,
1712471791,363,41,-1466,-486,7304,1332,1424,1138,4039,4646,982,,
1712471793,372,35,1216,-830,7212,1267,1367,1105,3877,4713,937,,
1712471795,364,36,-694,-1883,10189,1217,1344,1089,3803,4800,929,,
