timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,class,code
1712472058,307,107,-1897,2245,9972,3516,4141,3964,10417,5786,2493,,
1712472062,301,41,138,1459,7038,1630,1808,1472,4986,4831,1247,,
1712472064,313,73,399,2564,7794,2010,2161,1728,6040,4666,1493,,
1712472066,339,59,514,3528,2563,1828,1979,1571,5542,4665,1380,,
1712472068,355,65,169,1065,5987,1761,1921,1507,5358,4651,1357,,
1712472070,360,61,210,749,7935,2057,2237,1772,6188,4673,1566,,
1712472072,340,27,771,3021,8248,1758,1941,1544,5331,4737,1362,,
1712472074,361,26,-1103,5141,6606,1387,1612,1283,4442,4915,1154,,
1712472076,357,25,309,4611,7624,1419,1628,1295,4488,4868,1161,,
1712472078,315,23,2268,-1404,7843,869,1102,893,2960,5306,803,,
1712472080,301,15,544,-765,7665,1091,1317,1061,3601,5096,947,,
1712472082,313,65,1707,3345,11594,1368,1503,1198,4190,4727,1051,,
1712472084,361,37,-108,112,7487,1922,2183,1714,6021,4788,1567,,
1712472086,358,90,-628,2098,5661,2002,2208,1804,5912,4814,1514,,
1712472088,356,53,1298,2766,9140,2032,2264,1886,6002,4914,1533,,
1712472090,343,53,3258,2700,8275,1956,2188,1772,5959,4842,1521,,
1712472092,359,46,1556,2097,8635,1803,1998,1583,5509,4736,1409,,
1712472094,364,54,-755,2048,8100,1579,1776,1438,4837,4860,1238,,
1712472096,368,50,-9,878,7954,1950,1987,1578,5622,4474,1348,,
1712472098,360,59,780,-340,7489,1953,2099,1696,5820,4699,1437,,
1712472100,363,87,960,1327,7678,1912,2093,1687,5802,4752,1448,,
1712472102,275,77,562,2036,7206,2049,2216,1794,6152,4726,1519,,
1712472104,312,91,-769,1092,9143,2237,2493,2086,6658,4934,1681,,
1712472106,326,53,-889,1966,10051,2504,2649,2314,7050,4885,1674,,
1712472108,319,30,-2784,-432,8629,1676,1893,1597,5146,5020,1274,,
1712472110,298,24,-299,1048,8980,1755,1878,1539,5205,4732,1267,,
1712472112,303,26,-1883,467,8069,1353,1509,1226,4134,4843,1045,,
1712472114,318,21,32,1200,8214,1512,1741,1413,4732,4951,1222,,
1712472116,323,28,216,1291,8294,1534,1758,1426,4786,4932,1233,,
1712472118,332,33,-393,806,7975,1554,1767,1429,4833,4894,1238,,
1712472120,310,46,107,1084,8041,1438,1684,1401,4541,5102,1165,,
1712472122,303,49,94,1615,8225,1524,1725,1422,4706,4946,1187,,
1712472124,376,48,168,1454,8241,1506,1703,1406,4646,4948,1169,,
1712472126,355,33,322,525,8512,1475,1610,1306,4454,4764,1106,,
1712472128,366,23,-117,1092,8311,1371,1502,1193,4201,4706,1052,,
1712472130,356,66,1236,2224,8195,1507,1531,1225,4365,4488,1030,,
1712472132,356,73,-450,130,8851,1378,1520,1208,4180,4730,1067,,
1712472134,319,74,1121,1519,8480,1758,1950,1573,5358,4800,1355,,
1712472136,319,68,-338,337,8614,1836,1926,1580,5333,4668,1287,,
1712472138,343,51,-378,976,8769,1841,2049,1671,5590,4849,1413,,
1712472140,351,98,675,159,8853,2179,2415,2125,6348,5097,1549,,
1712472142,294,34,-325,-131,7991,1808,2100,1876,5486,5357,1354,,
1712472144,283,42,-1540,-727,7170,1394,1564,1382,4221,5166,1004,,
1712472146,317,65,-2761,1651,7737,1346,1472,1264,4028,4964,961,,
1712472148,296,37,-510,2959,7667,1492,1594,1411,4337,4982,998,,
1712472150,306,49,-1252,2247,8262,1497,1572,1388,4292,4907,979,,
1712472152,317,52,-874,2746,6923,1204,1379,1150,3742,5030,943,,
1712472154,307,29,633,1391,8128,877,995,812,2701,4918,691,,
1712472156,328,33,206,1068,7472,976,1087,884,2979,4841,751,,
1712472158,285,40,-501,2510,7630,1082,1123,911,3136,4598,754,,
1712472160,314,37,3,2889,7892,1052,1097,890,3062,4614,738,,
1712472162,322,39,45,2920,7759,1040,1083,879,3021,4611,728,,
1712472164,297,40,153,2891,7930,1030,1082,879,3014,4642,730,,
1712472166,314,36,150,2881,7799,1016,1069,868,2977,4646,722,,
1712472168,328,47,-745,3142,7793,1046,1084,880,3029,4596,727,,
1712472170,276,43,-1313,2732,7650,1081,1125,911,3137,4601,757,,
1712472172,323,47,-911,3212,7639,1077,1096,888,3073,4532,730,,
1712472174,357,41,-509,3184,7906,1043,1070,868,2997,4561,714,,
1712472176,366,40,-798,2920,7703,1080,1123,910,3135,4601,755,,
1712472178,358,41,-903,2921,7680,1069,1112,902,3104,4605,747,,
1712472180,356,45,-1188,2823,7792,1083,1138,923,3169,4638,769,,
1712472182,355,44,-695,2940,7852,1103,1148,930,3206,4603,773,,
1712472184,368,37,-925,2846,7651,1110,1155,936,3221,4603,777,,
1712472186,362,42,-797,2813,7842,1110,1152,933,3215,4593,775,,
1712472188,310,42,-893,2792,7708,1116,1156,935,3225,4583,777,,
1712472190,321,44,-820,2993,7757,1107,1148,930,3202,4591,771,,
1712472192,319,44,-788,2934,7700,1113,1151,933,3211,4584,772,,
1712472194,293,39,-505,1638,8233,1073,1180,954,3235,4778,815,,
1712472196,302,32,-1524,-2282,8443,1019,1167,954,3164,4957,812,,
1712472198,307,28,-1729,982,8241,810,934,777,2530,5045,642,,
1712472200,298,38,-1072,2097,8409,1075,1215,987,3301,4889,846,,
1712472202,305,37,-1196,2342,8306,1073,1183,964,3240,4813,813,,
1712472204,345,34,-547,2234,8477,1015,1132,923,3099,4855,781,,
1712472206,351,39,-770,2798,7898,1082,1159,944,3203,4715,787,,
1712472208,309,29,-632,2916,7867,1057,1118,915,3103,4689,751,,
1712472210,311,36,-700,3198,7634,1081,1121,916,3122,4619,747,,
1712472212,312,39,-299,3085,7721,1081,1129,921,3134,4637,756,,
1712472214,322,35,-264,3143,7807,1079,1130,922,3134,4646,758,,
1712472216,316,37,-214,3190,7738,1082,1133,925,3142,4648,759,,
