timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712470692,134,92,215,8924,65535,65535,65535,65535,0,34196,,
1712470694,97,1239,-267,8081,65535,65535,65535,65535,0,34196,,
1712470696,112,1921,2431,7557,65535,65535,65535,65535,0,34196,,
1712470697,95,1450,1140,8612,65535,65535,65535,65535,0,34196,,
1712470699,91,477,1799,7812,65535,65535,65535,65535,0,34196,,
1712470701,94,298,1653,8160,65535,65535,65535,65535,0,34196,,
1712470703,111,189,2054,8241,65535,65535,65535,65535,0,34196,,
1712470705,97,1109,1085,7755,65535,65535,65535,65535,0,34196,,
1712470707,98,925,2709,7982,65535,65535,65535,65535,0,34196,,
1712470709,128,-212,613,8824,65535,65535,65535,65535,0,34196,,
1712470711,214,2918,-173,7350,65535,65535,65535,65535,0,34196,,
1712470713,286,4878,1228,8841,65535,65535,65535,65535,0,34196,,
1712470715,225,1759,94,8685,65535,65535,65535,65535,0,34196,,
1712470717,250,2382,-996,6423,65535,65535,65535,65535,0,34196,,
1712470719,257,1702,-1201,6955,65535,65535,65535,65535,0,34196,,
1712470721,239,4970,-138,9703,65535,65535,65535,65535,0,34196,,
1712470723,234,3484,-889,8653,65535,65535,65535,65535,0,34196,,
1712470725,250,1997,-674,10063,65535,65535,65535,65535,0,34196,,
1712470727,194,3822,169,8126,65535,65535,65535,65535,0,34196,,
1712470729,235,1807,385,8074,65535,65535,65535,65535,0,34196,,
1712470731,189,4467,2028,7700,65535,65535,65535,65535,0,34196,,
1712470733,161,3640,1401,7801,65535,65535,65535,65535,0,34196,,
1712470735,145,3402,561,7534,65535,65535,65535,65535,0,34196,,
1712470737,124,3702,1157,8592,65535,65535,65535,65535,0,34196,,
1712470739,233,2305,20,8208,65535,65535,65535,65535,0,34196,,
1712470741,276,1850,1382,7534,65535,65535,65535,65535,0,34196,,
1712470743,269,3670,430,8128,65535,65535,65535,65535,0,34196,,
1712470745,256,1818,1534,9025,65535,65535,65535,65535,0,34196,,
1712470747,267,1247,2866,8379,65535,65535,65535,65535,0,34196,,
1712470749,214,2922,1115,10318,65535,65535,65535,65535,0,34196,,
1712470751,256,355,573,8717,65535,65535,65535,65535,0,34196,,
1712470753,220,700,576,7915,65535,65535,65535,65535,0,34196,,
1712470755,224,1145,-77,8551,65535,65535,65535,65535,0,34196,,
1712470757,205,1382,-278,8546,65535,65535,65535,65535,0,34196,,
1712470759,207,512,2149,7338,65535,65535,65535,65535,0,34196,,
1712470773,150,134,2797,6406,65535,65535,65535,65535,0,34196,,
1712470775,163,-7,477,7158,65535,65535,65535,65535,0,34196,,
1712470777,172,2534,-245,8947,65535,65535,65535,65535,0,34196,,
1712470779,144,1525,1393,6203,65535,65535,65535,65535,0,34196,,
1712470781,160,2369,13,9884,65535,65535,65535,65535,0,34196,,
1712470783,156,3004,162,6797,65535,65535,65535,65535,0,34196,,
1712470785,162,2529,-438,10709,65535,65535,65535,65535,0,34196,,
1712470787,190,2103,-858,7092,65535,65535,65535,65535,0,34196,,
1712470789,195,1808,-311,10642,65535,65535,65535,65535,0,34196,,
1712470791,171,1155,30,6068,65535,65535,65535,65535,0,34196,,
1712470793,171,1891,-1261,10532,65535,65535,65535,65535,0,34196,,
1712470795,169,570,-408,6569,65535,65535,65535,65535,0,34196,,
1712470797,174,2504,282,10333,65535,65535,65535,65535,0,34196,,
1712470799,172,943,573,5867,65535,65535,65535,65535,0,34196,,
1712470801,185,827,-605,9929,65535,65535,65535,65535,0,34196,,
1712470803,178,1440,848,6479,65535,65535,65535,65535,0,34196,,
1712470805,180,1226,-905,9653,65535,65535,65535,65535,0,34196,,
1712470807,178,1667,-560,7857,65535,65535,65535,65535,0,34196,,
1712470813,152,791,2800,10287,65535,65535,65535,65535,0,34196,,
1712470815,223,197,219,7489,65535,65535,65535,65535,0,34196,,
1712470817,196,3350,79,8747,65535,65535,65535,65535,0,34196,,
1712470819,215,-1114,-449,9700,65535,65535,65535,65535,0,34196,,
1712470821,172,1839,-309,7598,65535,65535,65535,65535,0,34196,,
1712470823,164,4045,-697,11865,65535,65535,65535,65535,0,34196,,
1712470824,155,1388,2024,9425,65535,65535,65535,65535,0,34196,,
1712470826,169,-187,2015,8905,65535,65535,65535,65535,0,34196,,
1712470828,163,462,85,6585,65535,65535,65535,65535,0,34196,,
1712470830,189,1158,1292,10447,65535,65535,65535,65535,0,34196,,
1712470832,209,-2551,-1857,9156,65535,65535,65535,65535,0,34196,,
1712470834,241,-2335,1047,6157,65535,65535,65535,65535,0,34196,,
1712470836,245,-199,-859,6523,65535,65535,65535,65535,0,34196,,
1712470838,208,673,-1335,9093,65535,65535,65535,65535,0,34196,,
1712470840,137,-601,-819,8993,43060,41951,51886,65535,0,14258,,
1712470842,137,930,-1130,9758,17137,20376,26070,52555,8129,7516,,
1712470844,193,-1126,-789,8717,65535,65535,65535,65535,0,34196,,
1712470846,265,-3012,-1158,6230,65535,65535,65535,65535,0,34196,,
1712470848,259,-1980,-3684,5696,65535,65535,65535,65535,0,34196,,
1712470850,195,2728,-1352,6597,65535,65535,65535,65535,0,34196,,
1712470852,201,977,-922,6819,65535,65535,65535,65535,0,34196,,
1712470854,184,2848,-441,7348,65535,65535,65535,65535,0,34196,,
1712470856,172,2409,-430,6693,65535,65535,65535,65535,0,34196,,
1712470858,170,6199,1481,8071,65535,65535,65535,65535,0,34196,,
1712470860,196,2337,-2521,9954,65535,65535,65535,65535,0,34196,,
1712470862,206,1567,-2467,9717,65535,65535,65535,65535,0,34196,,
1712470864,202,3740,-2019,9428,65535,65535,65535,65535,0,34196,,
1712470866,212,1814,-1112,8806,65535,65535,65535,65535,0,34196,,
1712470868,220,1630,-866,7578,65535,65535,65535,65535,0,34196,,
1712470870,218,-24,-419,7311,65535,65535,65535,65535,0,34196,,
1712470872,216,507,-732,5579,65535,65535,65535,65535,0,34196,,
1712470874,225,440,-98,4928,65535,65535,65535,65535,0,34196,,
1712470876,214,1373,384,5388,65535,65535,65535,65535,0,34196,,
1712470878,235,3524,-1461,6765,65535,65535,65535,65535,0,34196,,
1712470880,230,3856,-1277,7822,65535,65535,65535,65535,0,34196,,
1712470882,222,3856,-2322,7809,65535,65535,65535,65535,0,34196,,
1712470884,236,1847,-3781,9985,65535,65535,65535,65535,0,34196,,
1712470886,223,2177,-1909,10730,65535,65535,65535,65535,0,34196,,
1712470888,210,4604,-1413,11121,65535,65535,65535,65535,0,34196,,
1712470890,247,4226,-396,9219,65535,65535,65535,65535,0,34196,,
1712470892,273,1599,-1152,6996,65535,65535,65535,65535,0,34196,,
1712470894,252,2040,-1587,7884,65535,65535,65535,65535,0,34196,,
1712470896,250,1301,-1896,7109,65535,65535,65535,65535,0,34196,,
1712470898,238,1229,-1939,6627,65535,65535,65535,65535,0,34196,,
1712470900,232,2228,-1725,8120,65535,65535,65535,65535,0,34196,,
1712470902,210,3395,-1060,8493,65535,65535,65535,65535,0,34196,,
1712470904,176,2444,178,8656,65535,65535,65535,65535,0,34196,,
1712470906,226,3682,-1132,8325,65535,65535,65535,65535,0,34196,,
1712470908,221,1294,-1418,7202,65535,65535,65535,65535,0,34196,,
1712470910,225,2092,-972,7577,65535,65535,65535,65535,0,34196,,
1712470912,207,797,-613,7058,65535,65535,65535,65535,0,34196,,
1712470914,200,1721,-898,7646,65535,65535,65535,65535,0,34196,,
