timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712471706,9,137,-2594,7915,2051,2053,2397,4134,6719,820,,
1712471710,11,-679,-2781,8643,3359,3563,3900,7545,6398,1678,,
1712471712,12,1528,1556,9668,1808,1907,2348,4241,7494,704,,
1712471714,11,87,587,8886,2150,2212,2681,4989,7002,831,,
1712471716,11,-434,-1311,8324,1663,1748,2076,3785,7138,699,,
1712471718,7,-2119,-770,8862,876,936,1110,2002,7344,380,,
1712471720,5,-1128,-1227,7281,792,835,980,1795,7056,343,,
1712471722,5,187,913,8217,1349,1357,1646,2888,7034,499,,
1712471724,5,-44,221,7560,1109,1122,1341,2327,7016,429,,
1712471726,6,560,-353,7911,1149,1156,1355,2317,6842,459,,
1712471728,10,-185,3812,7402,2580,2697,3207,5842,7098,1072,,
1712471730,6,1527,-1972,8043,1273,1255,1488,2569,6690,478,,
1712471732,6,1138,-2935,10676,2052,2065,2530,4601,6970,741,,
1712471734,5,397,378,8062,1873,1897,2286,4063,6995,712,,
1712471736,5,1309,-57,9493,1306,1301,1543,2679,6782,500,,
1712471738,6,2553,-1242,8011,1561,1557,1846,3293,6696,599,,
1712471740,6,-167,-1067,8725,1868,1857,2215,3975,6693,703,,
1712471742,4,1636,-2197,8967,1872,1872,2183,3968,6527,749,,
1712471744,8,-77,1366,8034,1563,1552,1829,3213,6652,603,,
1712471746,7,3421,5078,9724,1648,1634,1888,3298,6485,662,,
1712471748,4,726,-822,6816,1725,1738,1998,3553,6550,720,,
1712471750,6,-948,948,7508,2065,2066,2353,4247,6359,868,,
1712471751,6,2230,-2657,6181,2389,2447,2650,4892,6111,1147,,
1712471753,7,934,-1858,7985,5521,5973,6251,12650,6136,3059,,
1712471755,10,175,-716,8379,3201,3195,3654,6593,6372,1329,,
1712471757,13,1411,-1945,7701,6007,5486,5934,11022,5101,2365,,
1712471759,12,-443,875,7249,6584,6540,7038,12707,5806,3033,,
1712471761,7,-140,304,8757,2668,2561,2882,4953,5949,1066,,
1712471763,9,-164,-278,5857,2465,2396,2794,4781,6420,936,,
1712471765,9,2296,-2050,8443,2511,2438,2875,4949,6492,928,,
1712471767,7,-1279,-244,8474,2321,2281,2647,4574,6463,909,,
1712471769,7,5954,-2488,11427,2311,2189,2510,4202,6036,867,,
1712471771,3,347,-897,8810,1700,1616,1855,3078,6103,641,,
1712471773,6,638,-541,7825,1578,1476,1652,2673,5702,608,,
1712471775,6,2003,-1039,8608,1948,1804,2057,3347,5780,709,,
1712471777,0,918,-1375,8314,2502,2350,2740,4582,6110,891,,
1712471779,7,2505,-830,6996,2884,2759,3278,5605,6425,1019,,
1712471781,40,559,-1376,8637,2386,2283,2647,4413,6264,891,,
1712471783,8,-489,-492,9738,2138,2054,2388,3905,6390,800,,
1712471785,3,1999,-1074,6605,2086,1974,2263,3627,6114,782,,
1712471787,6,193,-1694,7370,2088,1942,2206,3474,5836,772,,
1712471789,6,421,-1942,9245,2146,1958,2212,3396,5567,774,,
1712471791,8,-796,-726,7374,2347,2250,2646,4326,6482,852,,
1712471793,11,506,-261,8254,2318,2273,2706,4518,6792,854,,
1712471795,6,823,-1825,8582,2314,2310,2794,4929,6910,849,,
1712471797,8,224,420,9297,2020,1949,2255,3921,6231,769,,
1712471799,8,438,-2225,7159,2500,2569,3212,5896,7274,892,,
1712471801,8,2972,1084,8201,2548,2630,3215,5702,7313,970,,
1712471803,11,3044,-1369,7760,2118,2220,2714,4703,7606,829,,
1712471805,8,-2914,-635,7850,1399,1420,1712,3015,7061,534,,
1712471807,7,-3385,-1512,7634,1178,1174,1392,2425,6771,451,,
1712471809,8,1323,1029,8113,1980,2041,2473,4317,7306,768,,
1712471811,8,2137,-3765,7501,2889,3281,3909,7433,7682,1379,,
1712471813,15,1738,-4594,6365,3145,3643,4215,8470,7370,1643,,
1712471815,11,1203,-4054,7063,2994,3420,4021,7757,7565,1482,,
1712471817,10,1387,-4171,7064,3086,3539,4141,8039,7533,1553,,
1712471819,14,1305,-4265,6978,3192,3665,4308,8330,7596,1595,,
1712471821,14,1625,-4551,7168,3136,3638,4247,8366,7540,1615,,
1712471823,12,1227,-4262,6700,3225,3703,4302,8400,7468,1648,,
1712471825,13,1296,-5082,6646,3428,3922,4533,8853,7401,1759,,
1712471827,11,-2110,-3213,7829,3382,3751,4491,8305,7653,1535,,
1712471829,11,3214,3065,6093,2684,2697,3222,5506,7005,1027,,
1712471831,8,1455,-81,8181,2892,2957,3671,6349,7471,1041,,
1712471833,6,898,74,8395,2592,2662,3307,5719,7527,939,,
1712471835,11,618,-2187,7945,2573,2619,3157,5325,7298,987,,
1712471837,11,1975,-1739,8109,2596,2659,3221,5460,7389,996,,
1712471839,11,1808,-1647,7987,2547,2619,3191,5456,7437,971,,
1712471841,13,415,-2465,5694,2126,2174,2611,4498,7209,830,,
1712471843,12,221,-1014,10209,2529,2667,3363,5922,7824,927,,
1712471845,10,1174,398,7652,2367,2328,2750,4638,6714,893,,
1712471847,14,623,-1944,8181,2759,2877,3544,6240,7521,1051,,
1712471849,11,1942,-5115,10624,2709,2743,3294,5642,7127,1039,,
1712471850,10,-700,539,9661,2105,2080,2409,4039,6599,836,,
1712471852,8,-1364,143,8073,2013,1933,2215,3631,6229,776,,
