timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1716386843,9,-1882,-954,10721,5128,5526,5748,12040,6002,2850,,
1716386845,6,-3195,2768,6360,1376,1389,1541,3117,6004,617,,
1716386847,6,-1137,1516,5923,1226,1188,1293,2563,5591,530,,
1716386849,4,3992,983,8948,3676,3718,4216,8094,6273,1589,,
1716386851,21,1008,4151,9867,2840,2771,3067,5883,5800,1206,,
1716386853,5,-502,3114,10761,6184,6076,6779,12892,5929,2620,,
1716386855,7,-676,1631,8714,11190,11246,11992,23575,5731,5340,,
1716386857,12,296,744,8713,19828,20711,21780,45360,5856,10311,,
1716386859,18,4666,4695,11801,16810,17892,19579,41211,6227,8452,,
1716386861,32,-294,1216,9372,32484,34692,37296,65535,0,16913,,
1716386863,31,-610,-144,5496,43944,46540,48930,65535,0,23378,,
1716386865,24,-1148,-625,4728,23567,24914,27099,57239,6135,11838,,
1716386867,35,-929,-421,5311,49420,54198,56698,65535,0,28001,,
1716386869,35,-2643,-895,5977,44914,50302,53108,65535,0,25943,,
1716386871,31,-1474,-305,7334,33129,35841,38228,65535,0,17835,,
1716386873,32,-471,-247,8015,42173,46736,49590,65535,0,23779,,
1716386875,32,171,-50,9067,59104,64143,65535,65535,0,34086,,
1716386877,36,330,74,8378,50326,54444,57350,65535,0,27618,,
1716386879,28,-155,-790,9593,39091,43725,46193,65535,0,22513,,
1716386881,28,934,535,10580,30092,34027,36699,65535,0,17077,,
1716386883,29,180,1158,10745,31116,34819,37582,65535,0,17348,,
1716386885,24,-307,-529,10349,15967,17332,19662,40727,6630,7781,,
1716386887,20,-147,-1437,11182,17866,19565,22388,46611,6730,8694,,
1716386889,21,1769,-505,11990,21946,23982,26950,56436,6590,11002,,
1716386891,25,574,-263,11842,33444,36489,40071,65535,0,17406,,
1716386893,28,801,-374,11897,37323,40705,44371,65535,0,19654,,
1716386895,28,602,-1821,10106,27238,30112,33045,65535,0,14498,,
1716386897,31,22,-460,10788,44676,49098,53302,65535,0,23978,,
1716386899,32,692,-899,10596,52383,56444,60993,65535,0,27441,,
1716386901,29,282,-1940,10683,49291,53059,56586,65535,0,26328,,
1716386903,35,-680,-896,10535,56307,59802,62917,65535,0,30059,,
1716386905,42,-919,-1421,6267,65535,65535,65535,65535,0,34196,,
1716386906,23,-1025,-538,5356,17716,19396,21067,44879,6354,9443,,
1716386908,22,75,791,6511,13466,14504,16220,34044,6451,6649,,
1716386910,16,2248,2834,10398,12407,13364,14963,31419,6457,6113,,
1716386912,21,279,117,11790,13710,14651,16246,34178,6338,6783,,
1716386914,16,-443,-1448,9874,13875,14777,16345,34341,6302,6855,,
1716386916,16,-1723,-1473,6233,13543,14396,15961,33561,6301,6643,,
1716386918,15,1685,-241,6014,13135,13948,15428,32432,6280,6458,,
1716386920,14,4176,-1366,8134,11458,12188,13639,28609,6368,5534,,
1716386922,13,245,-1721,10599,11180,11977,13466,28597,6416,5418,,
1716386924,15,1082,-1038,12188,12447,13396,15074,31968,6456,6069,,
1716386926,16,-309,130,10151,12659,13626,15375,32533,6479,6143,,
1716386928,18,-763,-1131,5241,12273,13293,15024,32133,6503,6000,,
1716386930,16,507,-2,5373,12208,12993,14513,31113,6311,5922,,
1716386932,13,4950,2715,11254,10440,11030,12150,25562,6217,5127,,
1716386934,14,-1416,322,10786,9802,10474,11743,24662,6408,4754,,
1716386936,13,-2244,-1268,6396,11076,11998,13615,29064,6532,5376,,
1716386938,13,396,-442,4904,10551,11358,12879,27077,6525,5075,,
1716386940,15,1862,-243,8992,10297,11065,12514,26232,6505,4962,,
