timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1716387209,4,502,736,8325,2166,2248,2318,5599,5562,1148,,
1716387211,4,213,817,8311,2216,2295,2368,5751,5551,1169,,
1716387213,3,121,790,8348,2498,2558,2639,6492,5484,1294,,
1716387215,4,-5,833,8285,2456,2513,2591,6376,5476,1272,,
1716387217,4,14,764,8332,2532,2591,2669,6581,5471,1314,,
1716387219,3,-22,765,8345,2543,2600,2677,6607,5464,1318,,
1716387221,1,-16,721,8354,2554,2608,2683,6622,5453,1323,,
1716387223,4,26,768,8330,2583,2633,2704,6685,5435,1338,,
1716387225,4,-5,754,8334,2602,2648,2716,6727,5420,1346,,
1716387227,0,-17,734,8374,2609,2652,2719,6741,5411,1348,,
1716387229,4,19,741,8318,2612,2652,2719,6746,5405,1347,,
1716387231,4,11,726,8358,2617,2654,2720,6759,5397,1348,,
1716387233,4,84,722,8363,2637,2669,2735,6805,5385,1354,,
1716387235,1,86,724,8351,2644,2675,2742,6825,5385,1356,,
1716387237,3,22,713,8368,2646,2675,2742,6828,5381,1356,,
1716387239,1,88,715,8367,2655,2677,2741,6842,5361,1357,,
1716387241,2,34,711,8338,2659,2678,2740,6841,5352,1358,,
1716387242,6,12,716,8367,2670,2689,2750,6870,5349,1364,,
1716387244,4,71,708,8383,2694,2708,2769,6923,5339,1372,,
1716387246,4,70,711,8329,2672,2681,2741,6856,5329,1357,,
1716387248,3,100,685,8375,2639,2645,2705,6765,5325,1338,,
1716387250,1,159,727,8324,2517,2531,2594,6470,5352,1279,,
1716387252,2,62,675,8367,2552,2566,2633,6574,5358,1294,,
1716387254,1,30,671,8358,2543,2564,2635,6570,5380,1292,,
1716387256,4,60,692,8315,2494,2524,2601,6469,5413,1270,,
1716387258,4,64,695,8346,2453,2490,2572,6380,5441,1251,,
1716387260,4,37,686,8317,2402,2446,2532,6266,5469,1227,,
1716387262,3,82,690,8322,2351,2405,2496,6157,5507,1205,,
1716387264,1,80,655,8387,2306,2368,2462,6059,5537,1186,,
1716387266,4,97,664,8353,2270,2340,2438,5983,5569,1172,,
1716387268,4,85,686,8330,2234,2310,2412,5902,5598,1155,,
1716387270,5,87,648,8403,2192,2276,2380,5816,5628,1138,,
1716387272,4,54,653,8333,2166,2255,2360,5760,5647,1128,,
1716387274,3,88,680,8331,2150,2242,2349,5726,5662,1121,,
1716387276,2,74,690,8319,2128,2221,2329,5673,5671,1110,,
1716387278,4,62,592,8398,2103,2193,2299,5602,5665,1095,,
1716387280,5,94,655,8357,2085,2171,2276,5546,5658,1083,,
1716387282,3,87,667,8337,2047,2131,2232,5436,5652,1065,,
1716387284,4,91,647,8373,2118,2203,2308,5635,5647,1100,,
1716387286,3,99,631,8388,2119,2203,2307,5636,5642,1100,,
1716387288,3,66,643,8336,2113,2195,2298,5617,5636,1096,,
1716387290,4,65,654,8342,2121,2202,2307,5638,5637,1098,,
1716387292,0,90,639,8334,2116,2196,2300,5625,5632,1095,,
1716387294,3,85,670,8363,2119,2198,2303,5631,5632,1095,,
1716387296,1,95,639,8381,2119,2198,2301,5628,5627,1097,,
1716387298,4,70,620,8384,2125,2203,2306,5643,5624,1099,,
1716387300,5,155,669,8334,2060,2129,2226,5559,5588,1062,,
1716387302,11,120,606,8338,2055,2122,2217,5427,5593,1059,,
1716387304,2,24,623,8355,2163,2233,2331,5730,5585,1116,,
1716387306,4,87,625,8333,2170,2239,2336,5747,5579,1119,,
1716387308,3,48,606,8343,2179,2247,2343,5770,5572,1124,,
1716387310,1,37,603,8348,2186,2253,2350,5786,5571,1126,,
1716387312,0,31,614,8354,2172,2239,2336,5750,5574,1119,,
1716387314,1,53,610,8360,2181,2248,2346,5778,5574,1123,,
1716387316,4,61,615,8325,2172,2240,2339,5757,5580,1118,,
1716387318,4,48,601,8340,2161,2230,2330,5732,5587,1112,,
