timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1716401757,6,3349,326,10193,2601,3027,3487,7506,7079,1381,,
1716401759,2,-1085,-3574,9468,2325,2692,3088,6790,6943,1233,,
1716401761,6,-2964,-619,6480,2325,2654,3078,6501,7055,1181,,
1716401763,4,-2377,1907,6300,2580,2899,3381,7084,7004,1263,,
1716401765,3,-1557,1417,10635,3082,3508,4056,8584,7010,1567,,
1716401767,1,1405,989,10319,3005,3458,4003,8493,7084,1552,,
1716401769,3,-372,-1951,5798,2948,3448,3985,8550,7144,1568,,
1716401771,7,-1263,-612,9471,2902,3382,3912,8424,7109,1532,,
1716401773,20,974,-1044,8885,3238,3776,4380,9364,7158,1702,,
1716401775,2,747,1876,5714,3025,3603,4204,9031,7314,1627,,
1716401777,5,5,2484,5549,2925,3413,3953,8484,7138,1544,,
1716401779,5,-93,-228,8399,2813,3270,3765,8098,7072,1492,,
1716401781,1,238,-1289,10153,3100,3658,4242,9106,7221,1662,,
1716401783,2,2072,-1199,11540,3018,3601,4178,9048,7262,1645,,
1716401784,2,1584,2021,10082,2830,3389,3937,8571,7270,1548,,
1716401786,1,2586,1286,8775,2431,2928,3426,7468,7339,1324,,
1716401788,1,4603,5144,12388,2124,2588,3061,6635,7496,1154,,
1716401790,2,4293,5262,10788,2266,2745,3258,6910,7582,1212,,
1716401792,3,2807,154,8183,2150,2548,2981,6403,7294,1141,,
1716401794,3,3347,378,10349,1803,2159,2527,5470,7332,972,,
1716401796,1,-1124,-2814,3532,1582,1951,2307,4934,7647,877,,
1716401798,2,107,-594,3754,1040,1242,1459,3083,7446,554,,
1716401800,2,-581,-94,4728,1085,1274,1489,3207,7213,568,,
1716401802,0,-194,-2507,7873,910,1080,1268,2648,7455,481,,
1716401804,0,596,-400,11550,1205,1467,1743,3676,7652,648,,
1716401806,4,-805,-1151,6745,1615,1967,2344,5041,7568,864,,
1716401808,1,504,1404,10069,1607,1959,2351,5036,7629,849,,
1716401818,1,-786,557,8136,1585,1957,2350,5022,7735,854,,
1716401820,3,976,2287,8370,1532,1905,2292,4896,7795,831,,
1716401822,2,1341,-730,5326,1578,1898,2281,4763,7678,813,,
1716401824,1,-1869,991,7424,2083,2488,2974,6239,7574,1074,,
1716401826,3,1484,-78,8683,2471,2818,3286,6830,7142,1240,,
1716401828,0,1486,-693,6288,2996,3466,4036,8530,7170,1543,,
1716401830,3,-1009,1692,3122,3137,3702,4373,9276,7372,1624,,
1716401832,10,-737,2327,4545,3051,3624,4251,9140,7319,1618,,
1716401834,2,-840,7509,8812,2972,3491,4093,8743,7268,1549,,
1716401836,2,1061,4159,14289,3153,3696,4335,9230,7270,1637,,
1716401838,3,2098,5199,10418,3118,3738,4433,9414,7498,1643,,
1716401840,2,4479,3431,16506,2982,3498,4120,8743,7311,1537,,
1716401841,2,4901,-192,14813,2734,3191,3726,7888,7240,1421,,
1716401843,3,1188,715,12408,2865,3383,3955,8445,7292,1514,,
1716401845,2,2484,3020,11328,2464,2880,3371,7124,7271,1278,,
1716401847,6,3786,1867,11285,2732,3206,3762,7956,7310,1419,,
1716401849,3,2816,562,11964,2630,3078,3595,7621,7256,1373,,
1716401851,3,1481,2852,10915,2598,3117,3692,7868,7479,1374,,
1716401853,1,519,-4209,6067,2738,3231,3746,8059,7211,1469,,
1716401855,0,266,-750,10487,3717,4288,5011,10472,7217,1893,,
1716401857,3,468,2969,9245,3720,4408,5229,11048,7441,1922,,
1716401859,3,848,-138,5884,3865,4544,5383,11372,7379,1977,,
1716401861,1,-338,1180,2661,3878,4621,5492,11623,7483,2014,,
1716401863,3,1555,10,5663,3937,4647,5522,11648,7431,2014,,
1716401865,3,494,1674,6722,3854,4553,5361,11393,7353,2011,,
1716401867,3,4323,2883,12307,4104,4787,5667,11909,7343,2075,,
1716401869,2,2916,2715,10732,4089,4760,5640,11849,7335,2057,,
1716401871,3,1363,2072,11296,3380,3996,4750,10079,7415,1733,,
1716401873,0,-4052,3315,10385,3880,4569,5274,11474,7128,2091,,
1716401875,3,-4095,4558,9443,4077,4755,5443,11857,7015,2197,,
1716401877,2,-3446,4737,1921,4149,4809,5475,11963,6934,2236,,
1716401879,6,-1493,1593,3875,4204,4889,5595,12146,7007,2256,,
1716401881,2,-1252,382,7493,4340,5041,5796,12501,7048,2305,,
1716401883,2,-275,-8,10110,4362,5055,5764,12522,6962,2343,,
