timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,class,code
1712471596,345,697,-2522,-198,7888,17141,18965,20279,45189,6236,9526,,
1712471600,370,726,228,-1561,8211,33922,37157,40079,65535,0,18300,,
1712471602,363,695,5381,3689,6361,29554,31729,33935,65535,0,15647,,
1712471604,303,709,2581,3344,11654,36645,38823,41443,65535,0,19047,,
1712471606,317,702,3267,2261,12121,33420,35693,37977,65535,0,17690,,
1712471608,315,733,-2355,2372,10037,42542,44722,47412,65535,0,22074,,
1712471610,327,718,-3403,-727,8396,40249,42295,44913,65535,0,20817,,
1712471612,360,748,-1023,-2758,8280,40616,44048,47051,65535,0,21900,,
1712471614,361,712,-985,-1979,7687,37526,40348,43092,65535,0,19961,,
1712471616,303,712,-2146,-978,5005,41232,44022,47005,65535,0,21693,,
1712471618,315,709,-783,-260,5343,34096,36265,38621,65535,0,17902,,
1712471620,318,716,-1099,-1264,7559,45798,49500,51902,65535,0,25272,,
1712471622,322,721,-1719,-2444,7369,37215,39767,41825,65535,0,20072,,
1712471624,313,717,-2465,-2303,9485,35758,38218,40249,65535,0,19254,,
1712471626,287,683,-3751,1481,8360,31891,33736,35457,65535,0,16942,,
1712471628,248,678,-2399,689,5385,30828,31877,33851,65535,0,15529,,
1712471630,322,688,-1248,220,6081,26957,27446,29048,65535,0,13307,,
1712471632,291,692,912,1704,6254,30216,31426,33110,65535,0,15558,,
1712471634,338,683,3319,1543,10135,28983,30164,31787,65535,0,14935,,
1712471636,296,682,-2253,1828,10488,27317,28475,30076,65535,0,14062,,
1712471638,282,677,-2532,2007,6239,26949,28049,29674,65535,0,13803,,
1712471640,346,688,-2051,562,8101,28199,28262,29728,65535,0,13694,,
1712471642,365,682,-2214,712,7890,26137,26236,27604,61775,5529,12720,,
1712471644,358,680,-3543,758,7337,27302,27964,29384,65535,0,13767,,
1712471646,347,680,-1101,673,7608,29977,30557,32290,65535,0,14864,,
1712471648,358,680,-1825,274,8480,33135,34721,36539,65535,0,17301,,
1712471650,355,683,-1415,434,8585,35458,37485,39292,65535,0,18895,,
1712471652,359,676,-725,294,8653,31088,32007,33746,65535,0,15726,,
1712471654,354,670,-210,473,8332,24275,24191,25390,57960,5461,11718,,
